"Game","ReleaseDate","Genre","TotalEarnings","OnlineEarnings","TotalPlayers","TotalTournaments"
"Age of Empires","1997","Strategy",460830.69,334217.32,407,227
"Age of Empires II","1999","Strategy",3042871.76,1129627.41,1869,1481
"Age of Empires III","2005","Strategy",113893.65,41800,155,141
"Age of Empires IV","2021","Strategy",893245.17,408517.49,442,275
"Age of Empires Online","2011","Strategy",8646.56,775,42,43
"Age of Mythology","2002","Strategy",118345.33,53114.82,182,208
"Among Us","2018","Strategy",86000,0,14,8
"Auto Chess","2019","Strategy",1163720.28,1038222.28,133,52
"Brawl Stars","2018","Strategy",3901376.06,2488322.4,277,46
"Chess.com","2007","Strategy",5026664.33,655000,936,494
"chess24","2014","Strategy",4179375.43,0,90,28
"chessarena.com","2021","Strategy",47363.64,0,109,18
"Clash of Clans","2012","Strategy",4471027.87,2827101.87,367,65
"Clash Royale","2016","Strategy",6143348.27,3374638.98,314,56
"Clash Royale x Chess","2022","Strategy",0,0,0,0
"Command & Conquer 3","2007","Strategy",53086.67,53086.67,9,8
"Company of Heroes 2","2013","Strategy",8561.22,7956.22,11,6
"ComPet","2016","Strategy",2000,0,50,1
"Dead By Daylight","2016","Strategy",60000,0,35,9
"Dead by Daylight Mobile","2020","Strategy",10000,0,0,1
"Dota Underlords","2019","Strategy",26024.18,0,62,36
"Endgods","2015","Strategy",0,0,0,0
"Farming Simulator 19","2018","Strategy",582267.88,171889.81,127,25
"Grey Goo","2015","Strategy",36400,30400,18,5
"Heroes of Might and Magic III","1999","Strategy",0,0,0,0
"Identity V","2018","Strategy",1189526.81,726091.48,30,4
"Internet Chess Club","1995","Strategy",10000,0,6,1
"Iron Harvest","2020","Strategy",0,0,0,0
"Legion TD 2","2021","Strategy",0,0,0,0
"Lichess","2010","Strategy",1290329.91,0,345,167
"Loco Dojo Unleashed","2021","Strategy",1000,1000,4,1
"Men of War: Assault Squad 2","2014","Strategy",0,0,0,0
"Multigaming","2000","Strategy",500766.46,500766.46,36,8
"Playchess.com","2002","Strategy",32866.58,0,116,9
"Pokémon GO","2016","Strategy",196590,190700,197,41
"Pokémon VGC","2017","Strategy",618852,599000,296,43
"Prophecy","2020","Strategy",13000,0,27,4
"Rise of Nations: Rise of Legends","2006","Strategy",69600,69600,8,1
"Sea of Thieves","2016","Strategy",1e+05,0,67,4
"Star Wars: Squadrons","2020","Strategy",800,0,4,1
"StarCraft II","2010","Strategy",39104664.23,31169865.1,2173,7059
"StarCraft: Brood War","1998","Strategy",7528872.36,7291821.58,650,531
"StarCraft: Remastered","2017","Strategy",2168048.31,1548264.99,336,322
"Summoners War: Sky Arena","2014","Strategy",652000,372000,32,6
"Super Mario Party","2018","Strategy",220,220,4,1
"Supreme Commander","2007","Strategy",4901.26,4901.26,0,1
"Supreme Commander: Forged Alliance","2007","Strategy",1290.01,1290.01,0,1
"Teamfight Tactics","2019","Strategy",3651670.96,772878,513,55
"Temtem","2022","Strategy",2000,0,4,1
"TEPPEN","2019","Strategy",504721.47,456721.47,18,2
"The Binding of Isaac","2011","Strategy",15000,0,16,1
"UNO","2016","Strategy",30000,0,28,3
"WarCraft III","2002","Strategy",6266113.04,5331386.26,734,1516
"WarCraft III: Reforged","2020","Strategy",1549321.51,460168.84,143,407
"Warhammer 40,000: Dawn of War","2005","Strategy",79816.5,79816.5,7,3
"Warhammer 40,000: Dawn of War II","2009","Strategy",0,0,0,0
"Warparty","2019","Strategy",1175,0,6,2
"Windjammers","1994","Strategy",5651.47,5162.16,36,16
"World in Conflict","2007","Strategy",293338.23,293338.23,38,11
"World of Tanks","2010","Strategy",3988496.59,3915031.72,418,54
"World of Tanks Blitz","2016","Strategy",63330,60000,14,6
"After-H","2019","First-Person Shooter",44880.4,44880.4,93,13
"Aim Gods","2020","First-Person Shooter",250000,0,2,1
"Aliens versus Predator 2","2001","First-Person Shooter",43500,43500,2,2
"Alliance of Valiant Arms","2009","First-Person Shooter",0,0,0,0
"Archangel Hellfire","2017","First-Person Shooter",5500,2000,14,9
"Battalion 1944","2018","First-Person Shooter",206654.67,129863.88,135,29
"Battlefield 1","2016","First-Person Shooter",0,0,0,0
"Battlefield 2","2005","First-Person Shooter",94715.22,94715.22,0,13
"Battlefield 2142","2006","First-Person Shooter",18546.14,18546.14,0,4
"Battlefield 3","2011","First-Person Shooter",25407.46,25407.46,5,7
"Battlefield 4","2013","First-Person Shooter",245766.46,212540.31,204,145
"Battlefield Hardline","2015","First-Person Shooter",13463.28,13463.28,20,1
"Battlefield V","2018","First-Person Shooter",0,0,0,0
"Beat Aim","2019","First-Person Shooter",430,0,12,6
"Big Buck Hunter Arcade","2016","First-Person Shooter",76200,76200,3,1
"Black Squad","2017","First-Person Shooter",8480.72,0,57,17
"Blaston","2020","First-Person Shooter",17738.06,0,26,19
"Borderlands 3","2019","First-Person Shooter",50000,0,16,1
"Call of Duty","2003","First-Person Shooter",54799.77,54799.77,66,4
"Call of Duty 2","2005","First-Person Shooter",75090.24,69136.44,53,17
"Call of Duty 4: Modern Warfare","2007","First-Person Shooter",425409.27,393007.11,431,87
"Call of Duty: Advanced Warfare","2014","First-Person Shooter",2611808.93,2267636.14,783,405
"Call of Duty: Black Ops","2010","First-Person Shooter",375793.48,346969.18,118,23
"Call of Duty: Black Ops 2","2012","First-Person Shooter",1479139.25,1430071.63,187,54
"Call of Duty: Black Ops 4","2018","First-Person Shooter",6734938.95,6631161.95,389,82
"Call of Duty: Black Ops Cold War","2020","First-Person Shooter",6299000,3500000,274,89
"Call of Duty: Black Ops III","2015","First-Person Shooter",3939783.29,3783077.02,424,78
"Call of Duty: Blackout","2018","First-Person Shooter",611608.35,321008.35,175,18
"Call of Duty: Ghosts","2013","First-Person Shooter",1594185.25,1504472.89,199,76
"Call of Duty: Infinite Warfare","2016","First-Person Shooter",4166705.06,4049855.06,343,84
"Call of Duty: Mobile","2019","First-Person Shooter",5761274,3486274,294,16
"Call of Duty: Modern Warfare","2019","First-Person Shooter",7500784.5,678562.5,393,81
"Call of Duty: Modern Warfare 2","2009","First-Person Shooter",117360.64,51010.64,65,20
"Call of Duty: Modern Warfare 3","2011","First-Person Shooter",1160815.66,1144955.66,209,45
"Call of Duty: Modern Warfare II","2022","First-Person Shooter",1569000,1500000,76,10
"Call of Duty: Vanguard","2021","First-Person Shooter",6321000,5080000,261,91
"Call of Duty: Warzone","2020","First-Person Shooter",10869721.17,136000,1223,377
"Call of Duty: Warzone 2.0","2022","First-Person Shooter",141088.78,0,72,16
"Call of Duty: WWII","2017","First-Person Shooter",4578021,4498605,296,77
"Chex Quest","1996","First-Person Shooter",100,0,2,1
"Contractors","2018","First-Person Shooter",1000,0,20,1
"Counter-Strike","2000","First-Person Shooter",13596060.66,12882830.92,4264,1023
"Counter-Strike Online","2016","First-Person Shooter",406989.6,406989.6,70,12
"Counter-Strike: Condition Zero","2004","First-Person Shooter",162150.6,162150.6,111,3
"Counter-Strike: Global Offensive","2012","First-Person Shooter",150420359.74,98080178.61,15741,6655
"Counter-Strike: Source","2004","First-Person Shooter",3113222.29,2872766.03,1502,331
"Critical Ops","2015","First-Person Shooter",12606.41,2500,4,3
"CrossFire","2007","First-Person Shooter",15813027.8,15077801.51,834,336
"CrossFire HD","2022","First-Person Shooter",432765,432765,56,2
"CrossFire Mobile","2015","First-Person Shooter",3282417.5,3282417.5,0,12
"Crysis","2007","First-Person Shooter",11340.95,11340.95,0,2
"Day of Defeat","2003","First-Person Shooter",51180.41,51180.41,43,4
"Day of Defeat: Source","2005","First-Person Shooter",14068.57,10286.47,50,8
"Descent 3","1999","First-Person Shooter",50000,50000,1,1
"Diabotical","2020","First-Person Shooter",265072.09,25842.43,399,388
"Doom (2016)","2016","First-Person Shooter",7000,7000,6,1
"Doom 3","2004","First-Person Shooter",257748.16,257748.16,14,4
"Doom II: Hell on Earth","1994","First-Person Shooter",5108.56,2200,14,8
"DOOMBRINGER","2017","First-Person Shooter",567.77,0,8,4
"Echo Combat","2018","First-Person Shooter",46800,46800,16,1
"Enemy Territory: Quake Wars","2007","First-Person Shooter",60923.12,60923.12,27,4
"Escape from Tarkov","2020","First-Person Shooter",114600,0,150,4
"EV.IO","2021","First-Person Shooter",0,0,0,0
"Evolve","2015","First-Person Shooter",131509.05,126054.1,110,33
"F.E.A.R.","2005","First-Person Shooter",178000,178000,20,5
"Ghost Recon Advanced Warfighter","2006","First-Person Shooter",24000,24000,0,2
"Gundam Versus","2017","First-Person Shooter",280,280,6,1
"Guns of Boom","2017","First-Person Shooter",198750,190000,8,21
"Halo 2","2004","First-Person Shooter",1626762.47,1489362.47,126,74
"Halo 2 Anniversary","2014","First-Person Shooter",468705.05,468705.05,97,20
"Halo 3","2007","First-Person Shooter",2318079.4,2161479.4,214,43
"Halo 4","2012","First-Person Shooter",430748.76,428498.76,66,19
"Halo 5: Guardians","2015","First-Person Shooter",7161730.97,6783930.97,248,109
"Halo Infinite","2021","First-Person Shooter",3259655,2760800,215,43
"Halo: Combat Evolved","2001","First-Person Shooter",299281,299281,118,39
"Halo: Reach","2010","First-Person Shooter",772089.97,712089.97,121,29
"Ironsight","2018","First-Person Shooter",0,0,0,0
"Islands of Nyne","2017","First-Person Shooter",0,0,0,0
"Lemnis Gate","2021","First-Person Shooter",1564.7,0,6,5
"MechWarrior Online","2013","First-Person Shooter",143490,143490,0,1
"Metal Gear Online","2008","First-Person Shooter",8000,0,37,8
"Onward","2016","First-Person Shooter",161820,123000,92,8
"Overwatch","2016","First-Person Shooter",34607741.7,18831048.4,4032,833
"Overwatch 2","2022","First-Person Shooter",6098117,3142464,839,77
"Painkiller","2004","First-Person Shooter",1015000,1015000,48,13
"Paladins","2015","First-Person Shooter",2490507.6,1789000,572,79
"Pavlov","2017","First-Person Shooter",1260,0,19,3
"Pistol Whip","2019","First-Person Shooter",7500,0,13,1
"Point Blank","2008","First-Person Shooter",1735621.24,1577483.06,556,105
"Quake 4","2005","First-Person Shooter",564455.57,562204.81,107,54
"Quake Champions","2017","First-Person Shooter",3282187.75,2401846.63,295,278
"Quake II","1997","First-Person Shooter",131925.98,131300,37,12
"Quake III Arena","1999","First-Person Shooter",1197552.96,1179740.93,308,114
"Quake Live","2010","First-Person Shooter",684854.12,599972.93,225,411
"QuakeWorld","1996","First-Person Shooter",97351.67,91505.44,47,17
"Rage","2011","First-Person Shooter",5000,5000,3,1
"Rainbow Six Extraction","2022","First-Person Shooter",0,0,0,0
"Rainbow Six Siege","2015","First-Person Shooter",35791760.67,27342286.72,2837,534
"Rainbow Six: Vegas","2006","First-Person Shooter",176400.77,176400.77,106,7
"Rainbow Six: Vegas 2","2008","First-Person Shooter",79000,79000,0,8
"Realm Royale","2018","First-Person Shooter",263000,0,47,9
"Reflex","2015","First-Person Shooter",2458.37,163.66,24,9
"Resistance 2","2008","First-Person Shooter",50400,0,194,1
"Resistance 2","2008","First-Person Shooter",0,0,0,0
"Return to Castle Wolfenstein","2001","First-Person Shooter",113424.3,113424.3,50,3
"Rust","2013","First-Person Shooter",0,0,0,0
"S.K.I.L.L. - Special Force 2","2013","First-Person Shooter",147532.93,131555.81,97,22
"S.T.A.L.K.E.R.: Shadow of Chernobyl","2007","First-Person Shooter",4901.26,4901.26,0,1
"Shadowrun","2007","First-Person Shooter",24000,24000,0,3
"ShootMania Storm","2013","First-Person Shooter",262090.69,258286.5,108,43
"Snapshot VR","2020","First-Person Shooter",1000,0,15,2
"Space Junkies","2019","First-Person Shooter",30420,24600,33,4
"Special Force","2004","First-Person Shooter",130250,130250,0,3
"Splatoon","2015","First-Person Shooter",1390,0,3,4
"Splatoon 2","2017","First-Person Shooter",8930,8630,13,6
"Star Wars Jedi Knight II: Jedi Outcast","2002","First-Person Shooter",7679.25,7679.25,0,1
"Sudden Attack","2005","First-Person Shooter",0,0,0,0
"Team Fortress 2","2007","First-Person Shooter",728491.34,401759.73,1367,199
"Tower Tag","2020","First-Person Shooter",5170.41,0,25,5
"Uncharted 4: A Thief's End","2016","First-Person Shooter",46235.07,46235.07,5,1
"Unreal Tournament","1999","First-Person Shooter",89000,89000,14,5
"Unreal Tournament (2016)","2016","First-Person Shooter",5084.97,0,82,8
"Unreal Tournament 2003","2002","First-Person Shooter",147473.91,147473.91,33,14
"Unreal Tournament 2004","2004","First-Person Shooter",152421.78,151871.78,54,14
"Unreal Tournament 3","2007","First-Person Shooter",104977.82,104977.82,7,4
"Vail VR","2022","First-Person Shooter",0,0,0,0
"VAIL VR","2022","First-Person Shooter",36000,35000,30,2
"VALORANT","2020","First-Person Shooter",17404393.18,7215636.38,5408,1007
"Warface","2013","First-Person Shooter",109555,109555,32,2
"Warsow","2012","First-Person Shooter",183,0,2,1
"Wolfenstein: Enemy Territory","2003","First-Person Shooter",140963.24,138376.87,152,18
"Xonotic","2010","First-Person Shooter",14935.01,26.07,96,44
"Zombieland VR: Headshot Fever","2021","First-Person Shooter",10000,0,4,1
"Zula","2015","First-Person Shooter",1e+05,1e+05,20,1
"Zula","2015","First-Person Shooter",0,0,0,0
"Arena of Valor","2015","Multiplayer Online Battle Arena",70666829.33,66647703.57,1854,145
"Battlerite","2016","Multiplayer Online Battle Arena",65173.45,28000,86,75
"Blankos Block Party","2020","Multiplayer Online Battle Arena",250,0,3,1
"Bloodline Champions","2011","Multiplayer Online Battle Arena",41905.32,40850,43,12
"Crab Game","2021","Multiplayer Online Battle Arena",45950,44000,32,11
"Creative Destruction","2018","Multiplayer Online Battle Arena",1e+05,0,8,1
"Defense of the Ancients","2003","Multiplayer Online Battle Arena",857420.65,829658.68,468,94
"Dofus","2004","Multiplayer Online Battle Arena",0,0,0,0
"Dota 2","2013","Multiplayer Online Battle Arena",314915846.42,281406266.96,4683,1784
"Heavy Metal Machines","2017","Multiplayer Online Battle Arena",12339.33,0,35,1
"Heroes of Newerth","2010","Multiplayer Online Battle Arena",3073445.72,1722436.17,820,395
"Heroes of the Storm","2015","Multiplayer Online Battle Arena",18444127.19,14249535.64,1317,498
"Hyper Scape","2020","Multiplayer Online Battle Arena",299000,0,260,4
"League of Legends","2009","Multiplayer Online Battle Arena",101662548.39,88341618.68,8999,2835
"League of Legends: Wild Rift","2021","Multiplayer Online Battle Arena",8326779.92,6131093.33,1368,101
"Legend of Glory","2015","Multiplayer Online Battle Arena",472.66,0,0,1
"Minecraft","2011","Multiplayer Online Battle Arena",1690377.15,104000,495,84
"MOBA Legends","2016","Multiplayer Online Battle Arena",225,0,3,1
"Mobile Legends: Bang Bang","2016","Multiplayer Online Battle Arena",8756148.86,7414524.59,1360,93
"Onmyoji Arena","2018","Multiplayer Online Battle Arena",89679.22,89679.22,5,1
"Pokemon Unite","2021","Multiplayer Online Battle Arena",775500,545500,228,12
"Roblox","2006","Multiplayer Online Battle Arena",0,0,0,0
"Shards of War","2015","Multiplayer Online Battle Arena",1029.21,0,20,1
"SMITE","2014","Multiplayer Online Battle Arena",9250112.75,7872832.57,542,97
"Splitgate: Arena Warfare","2019","Multiplayer Online Battle Arena",50000,0,64,2
"Teeworlds","2007","Multiplayer Online Battle Arena",0,0,0,0
"Vainglory","2014","Multiplayer Online Battle Arena",937421.19,836825.87,262,36
"Blade & Soul","2012","Role-Playing Game",679006.26,679006.26,89,7
"Cave Digger 2","2021","Role-Playing Game",750,0,4,1
"Chivalry 2","2021","Role-Playing Game",0,0,0,0
"Guild Wars 2","2012","Role-Playing Game",476005.5,350000,152,57
"Naraka: Bladepoint","2021","Role-Playing Game",2908130.52,2473700,138,12
"Old School Runescape","2013","Role-Playing Game",457504.2,28500,84,26
"Red Stone","2004","Role-Playing Game",58000,58000,12,2
"Stardew Valley","2016","Role-Playing Game",97850,0,69,3
"World of WarCraft","2004","Role-Playing Game",8070537.61,5081388.91,488,202
"Acceleration of SUGURI 2","2018","Fighting Game",410,210,8,3
"Akatsuki Blitzkampf","2007","Fighting Game",20,0,3,1
"Aquapazza: Aquaplus Dream Match","2011","Fighting Game",245,245,5,2
"Arcana Heart 3","2009","Fighting Game",1000,1000,4,1
"Arcana Heart 3: Love Max Six Stars!!!!!","2014","Fighting Game",570,520,8,4
"Arcana Heart 3: LOVE MAX!!!!!","2013","Fighting Game",410,410,6,2
"ARMS","2017","Fighting Game",21902.46,13672.93,126,104
"Asuka 120% LimitOver BURNING Fest.","1998","Fighting Game",10,0,3,1
"Attack on Titan Tribute Game","2013","Fighting Game",108650,0,21,15
"BlazBlue: Calamity Trigger","2008","Fighting Game",35,35,3,1
"BlazBlue: Central Fiction","2015","Fighting Game",88273.21,87976.37,106,47
"BlazBlue: Chronophantasma","2012","Fighting Game",37020.58,37020.58,63,15
"BlazBlue: Chronophantasma Extend","2015","Fighting Game",4918.77,4918.77,28,11
"BlazBlue: Continuum Shift Extend","2011","Fighting Game",0,0,3,1
"BlazBlue: Continuum Shift II","2010","Fighting Game",24591.01,24591.01,14,5
"BlazBlue: Cross Tag Battle","2018","Fighting Game",97872.7,95624.31,128,42
"Brawlhalla","2015","Fighting Game",3616177.83,844264.04,850,664
"Brawlout","2017","Fighting Game",0,0,0,0
"Breakers Revenge","1998","Fighting Game",16,0,3,1
"Capcom vs. SNK","2000","Fighting Game",140,140,6,2
"Capcom vs. SNK 2","2001","Fighting Game",24976.79,24976.79,38,22
"Chaos Code: New Sign of Catastrophe","2013","Fighting Game",140,140,3,1
"Dead or Alive 4","2005","Fighting Game",497745.31,497745.31,45,13
"Dead or Alive 5","2012","Fighting Game",0,0,4,2
"Dead or Alive 5 Ultimate","2013","Fighting Game",0,0,37,7
"Dead or Alive 5: Last Round","2015","Fighting Game",15413.82,15413.82,46,20
"Dead or Alive 6","2019","Fighting Game",64742.54,63632.54,67,21
"Dead or Alive Ultimate","2004","Fighting Game",30000,30000,3,1
"Def Jam: Fight for NY","2004","Fighting Game",550,360,6,3
"Dengeki Bunko: Fighting Climax","2014","Fighting Game",60,60,3,1
"Dengeki Bunko: Fighting Climax Ignition","2015","Fighting Game",3852.8,3667.3,40,14
"Digimon Rumble Arena","2001","Fighting Game",200,0,5,2
"Divekick","2013","Fighting Game",5840,5840,27,11
"DNF Duel","2022","Fighting Game",28595.48,27595.48,49,11
"Dragon Ball FighterZ","2018","Fighting Game",421903.14,399006.64,270,163
"Dragon Ball Z: Budokai 3","2004","Fighting Game",204.06,204.06,3,1
"Duck Game","2014","Fighting Game",750,0,5,2
"Eternal Fighter Zero","2000","Fighting Game",1311.6,0,7,2
"Fantasy Strike","2019","Fighting Game",5799.8,2610,21,5
"Fight of Animals","2019","Fighting Game",630.68,0,9,4
"Fighter's History Dynamite","1994","Fighting Game",195,195,3,1
"Fighting EX Layer","2018","Fighting Game",1642.96,1632.96,16,7
"Garou: Mark of the Wolves","1999","Fighting Game",658.71,513.71,13,4
"Granblue Fantasy: Versus","2020","Fighting Game",186825.88,152754.77,118,84
"Guilty Gear","1998","Fighting Game",32,32,3,1
"Guilty Gear -STRIVE-","2021","Fighting Game",222732.88,143489.56,226,65
"Guilty Gear Xrd -REVELATOR-","2016","Fighting Game",36437.43,36437.43,61,19
"Guilty Gear Xrd -SIGN-","2014","Fighting Game",37445.66,37445.66,80,38
"Guilty Gear Xrd REV 2","2017","Fighting Game",126399.3,126204.3,126,61
"Guilty Gear XX","2002","Fighting Game",0,0,5,2
"Guilty Gear XX #Reload","2003","Fighting Game",0,0,3,1
"Guilty Gear XX Accent Core","2007","Fighting Game",10365,10365,33,4
"Guilty Gear XX Accent Core Plus","2008","Fighting Game",0,0,3,1
"Guilty Gear XX Accent Core Plus R","2012","Fighting Game",14702.14,6430,82,30
"Guilty Gear XX Slash","2005","Fighting Game",10250,10250,6,2
"Hokuto no Ken","2005","Fighting Game",145,145,3,1
"Hyper Street Fighter II","2003","Fighting Game",10250,10250,8,1
"HYPERFIGHT","2019","Fighting Game",140,0,4,2
"Injustice 2","2017","Fighting Game",837447.16,836014.57,81,38
"Injustice: Gods Among Us","2013","Fighting Game",35176.89,35176.89,101,117
"JoJo's Bizarre Adventure: All Star Battle R","2022","Fighting Game",780,780,8,1
"JoJo's Bizarre Adventure: Heritage for the Future","1999","Fighting Game",324.99,0,8,3
"Kill la Kill the Game: IF","2019","Fighting Game",920,770,12,4
