"Game","ReleaseDate","Genre","TotalEarnings","OnlineEarnings","TotalPlayers","TotalTournaments"
"Killer Instinct (2013)","2013","Fighting Game",226323.54,226253.54,132,57
"King of Fighters 2002 Unlimited Match","2009","Fighting Game",760,760,6,2
"King of Fighters 98","1998","Fighting Game",7945.57,7945.57,7,3
"King of Fighters XI","2005","Fighting Game",25,25,3,1
"King of Fighters XIII","2010","Fighting Game",45444.28,45444.28,106,43
"King of Fighters XIV","2016","Fighting Game",74402.09,73542.09,89,39
"King of Fighters XV","2022","Fighting Game",75689.51,49006.09,137,28
"Kirby Fighters 2","2020","Fighting Game",222.86,0,4,1
"Koihime Enbu","2016","Fighting Game",1765,1615,14,7
"Lethal League Blaze","2018","Fighting Game",5643.92,1677.75,25,12
"Maiden & Spell","2020","Fighting Game",325,0,5,2
"Marvel vs. Capcom 2","2000","Fighting Game",39279.73,39269.73,68,29
"Marvel vs. Capcom 3","2011","Fighting Game",22343.62,22343.62,38,12
"Marvel vs. Capcom: Infinite","2017","Fighting Game",76256.72,76202.12,60,22
"Melty Blood: Actress Again","2009","Fighting Game",0,0,10,2
"Melty Blood: Actress Again Current Code","2010","Fighting Game",11429.93,8665,68,24
"Melty Blood: Type Lumina","2021","Fighting Game",12842.49,12842.49,44,11
"Mighty Fight Federation","2021","Fighting Game",100,0,3,1
"Million Arthur: Arcana Blood","2017","Fighting Game",7540,7530,12,4
"Mordhau","2019","Fighting Game",16623,0,40,3
"Mortal Kombat 11","2019","Fighting Game",576390.54,494128.34,233,60
"Mortal Kombat 9","2011","Fighting Game",136891.67,136891.67,67,26
"Mortal Kombat vs. DC Universe","2008","Fighting Game",0,0,3,1
"Mortal Kombat X","2015","Fighting Game",563532.42,563532.42,100,62
"Mortal Kombat XL","2016","Fighting Game",134203.79,129203.79,55,18
"MultiVersus","2022","Fighting Game",114202.5,100151.5,59,10
"Mystery Game Tournament","2019","Fighting Game",10995,10995,56,8
"Naruto Shippuden: Ultimate Ninja Storm 4","2016","Fighting Game",4550,2000,7,5
"Naruto: Gekitou Ninja Taisen! 4","2005","Fighting Game",200,0,3,1
"Ninja Legends","2019","Fighting Game",1000,0,6,1
"Nitroplus Blasterz: Heroines Infinite Duel","2015","Fighting Game",1994,1994,10,4
"Persona 4 Arena","2012","Fighting Game",6336.63,6336.63,42,11
"Persona 4 Arena Ultimax","2013","Fighting Game",20268.16,20268.16,64,21
"Pocket Bravery","2022","Fighting Game",452.35,452.35,3,1
"Pocket Rumble","2016","Fighting Game",185,0,5,2
"Pokkén Tournament","2016","Fighting Game",77216.66,76971.66,65,26
"Pokkén Tournament DX","2017","Fighting Game",22125.4,21914,44,28
"Power Instinct: Matrimelee","2002","Fighting Game",90,0,5,2
"Power Rangers: Battle for the Grid","2019","Fighting Game",6746.8,3086.2,26,12
"Power Rangers: Legacy Wars","2017","Fighting Game",4178.55,4178.55,2,1
"Project Justice","2000","Fighting Game",165,165,3,1
"Project M","2010","Fighting Game",205292.09,205292.09,560,335
"Project Plus","2019","Fighting Game",195,0,6,2
"Punch Planet","2017","Fighting Game",400,0,6,2
"Red Earth","1996","Fighting Game",100,0,3,1
"Rising Thunder","2015","Fighting Game",1000,1000,3,1
"Rivals of Aether","2015","Fighting Game",40314.85,37783.23,57,23
"Roof Rage","2019","Fighting Game",50,0,3,1
"Rushdown Revolt","2021","Fighting Game",4160.09,0,31,18
"Sailor Moon S","1995","Fighting Game",3281.19,3271.19,20,12
"Samurai Shodown (2019)","2019","Fighting Game",77983.31,77858.31,75,20
"Samurai Shodown III","1995","Fighting Game",70,0,5,2
"Samurai Shodown V Special","2004","Fighting Game",590.57,490.11,15,5
"Schwarzerblitz","2020","Fighting Game",200,0,5,2
"Sekiro: Shadows Die Twice","2019","Fighting Game",19596,0,20,1
"Shovel Knight Showdown","2019","Fighting Game",60,60,3,1
"Shrek SuperSlam","2005","Fighting Game",80,0,4,2
"Skullgirls","2012","Fighting Game",300,300,3,1
"Skullgirls 2nd Encore","2015","Fighting Game",55643.02,22081,73,24
"Skullgirls Encore","2014","Fighting Game",9155.4,9155.4,37,13
"Slap City","2018","Fighting Game",600,0,5,2
"SLAYERS FOR HIRE","2020","Fighting Game",600,0,8,2
"Smash Remix","2019","Fighting Game",299.06,0,4,1
"SNK Heroines: Tag Team Frenzy","2018","Fighting Game",430,430,3,1
"Soul Calibur II","2003","Fighting Game",4980,4980,17,8
"Soul Calibur II HD Online","2013","Fighting Game",945.41,945.41,29,5
"Soul Calibur IV","2008","Fighting Game",260,260,3,2
"Soul Calibur V","2012","Fighting Game",60428.54,60428.54,73,27
"Soul Calibur VI","2018","Fighting Game",176687.27,159013.28,127,71
"Street Fighter Alpha 2","1996","Fighting Game",2944.69,1830,24,11
"Street Fighter Alpha 3","1998","Fighting Game",340,340,16,5
"Street Fighter EX2 Plus","1999","Fighting Game",350,350,5,2
"Street Fighter III: 3rd Strike","1999","Fighting Game",54341.18,52643.96,108,45
"Street Fighter IV","2009","Fighting Game",7938.22,7938.22,41,12
"Street Fighter V","2016","Fighting Game",2266156.94,2217656.94,282,130
"Street Fighter V: Arcade Edition","2018","Fighting Game",2263945.95,2263095.95,235,104
"Street Fighter V: Champion Edition","2020","Fighting Game",891040.67,350558.21,263,148
"Street Fighter X Tekken","2012","Fighting Game",84090.64,83229.34,115,93
"Super Smash Bros.","1999","Fighting Game",68832.81,68692.81,238,126
"Super Smash Bros. Brawl","2008","Fighting Game",248100.83,248100.83,509,348
"Super Smash Bros. for Wii U","2014","Fighting Game",1515451.47,1512816.47,1280,1035
"Super Smash Bros. Melee","2001","Fighting Game",3575744.32,3481124.55,1935,2646
"Super Smash Bros. Ultimate","2018","Fighting Game",2415685.4,2031650.52,2334,1665
"Super Street Fighter II Turbo","1994","Fighting Game",25646.29,25646.29,114,51
"Super Street Fighter II Turbo HD Remix","2008","Fighting Game",16360,16360,29,8
"Super Street Fighter IV","2010","Fighting Game",30229.3,20877.3,43,18
"Super Street Fighter IV Arcade Edition","2010","Fighting Game",355586.67,355586.67,154,204
"Tatsunoko vs. Capcom: Ultimate All-Stars","2010","Fighting Game",2771.76,1330.81,16,16
"Teenage Mutant Ninja Turtles: Tournament Fighters","1993","Fighting Game",820,820,7,2
"Tekken 4","2001","Fighting Game",12500,12500,4,4
"Tekken 5","2004","Fighting Game",10250,10250,10,9
"Tekken 5: Dark Resurrection","2006","Fighting Game",12180,12180,18,5
"Tekken 6","2007","Fighting Game",119874.64,119874.64,61,29
"Tekken 7","2015","Fighting Game",2529487.33,2266636.22,575,388
"Tekken Tag Tournament","1999","Fighting Game",0,0,7,4
"Tekken Tag Tournament 2","2011","Fighting Game",118501.3,118501.3,151,140
"The Last Blade 2","1998","Fighting Game",60,0,4,2
"The Unspoken","2018","Fighting Game",38824.08,38824.08,7,4
"Them's Fightin' Herds","2018","Fighting Game",4578.19,530,28,29
"Toribash","2006","Fighting Game",100,0,3,1
"Tough Love Arena","2021","Fighting Game",100,0,3,1
"Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe","2009","Fighting Game",4501.52,220,18,6
"TowerFall: Ascension","2013","Fighting Game",0,0,0,0
"Ultimate Marvel vs. Capcom 3","2011","Fighting Game",149179.59,147052.24,209,186
"Ultimate Mortal Kombat 3","1995","Fighting Game",150,150,6,2
"Ultra Fight Da! Kyanta 2","2019","Fighting Game",320,320,3,1
"Ultra Street Fighter IV","2014","Fighting Game",818394.62,818354.62,242,233
"Umineko: Golden Fantasia","2010","Fighting Game",190,90,9,3
"Under Night In-Birth EXE: Late","2014","Fighting Game",6025.76,6025.76,52,23
"Under Night In-Birth EXE: Late[st]","2015","Fighting Game",54583.33,54583.33,109,40
"Under Night In-Birth Exe:Late[cl-r]","2020","Fighting Game",6337.01,5707.25,38,9
"Vampire Savior","1997","Fighting Game",16642.38,15495.17,37,22
"Virtua Fighter 4: Evolution","2002","Fighting Game",0,0,6,3
"Virtua Fighter 5","2007","Fighting Game",39830,39830,14,7
"Virtua Fighter 5 Final Showdown","2010","Fighting Game",573.77,573.77,28,6
"Virtua Fighter 5: Ultimate Showdown","2021","Fighting Game",1870,870,14,3
"Windjammers 2","2022","Fighting Game",1056.07,1056.07,3,56
"WWE 2K20","2019","Fighting Game",50000,0,20,2
"Asphalt 4","2008","Racing",29500,29500,5,2
"Asphalt 9: Legends","2018","Racing",51520,51520,5,2
"Assetto Corsa","2014","Racing",964348.2,656130.85,298,129
"Assetto Corsa Competizione","2018","Racing",535914.8,340767.5,470,55
"Dirt Rally 2.0","2019","Racing",30000,10000,9,4
"Epic Roller Coasters VR","2018","Racing",0,0,0,0
"F1 2018","2018","Racing",2e+05,2e+05,21,1
"F1 2019","2019","Racing",538047.38,538047.38,25,2
"F1 2020","2020","Racing",752235,0,42,3
"F1 2021","2021","Racing",765939,0,35,4
"F1 22","2022","Racing",750324,0,25,2
"Forza Horizon 5","2021","Racing",5000,0,7,1
"Forza Motorsport 2","2007","Racing",222000,222000,17,2
"Forza Motorsport 3","2009","Racing",11000,11000,3,2
"Forza Motorsport 4","2011","Racing",132.37,132.37,2,1
"Forza Motorsport 6","2015","Racing",172600,170200,43,9
"Forza Motorsport 7","2017","Racing",820200,616200,123,12
"Gran Turismo 3: A-Spec","2001","Racing",3250,3250,4,2
"Gran Turismo 4","2004","Racing",44000,44000,5,2
"Gran Turismo Sport","2017","Racing",61522.56,27511,126,25
"GRID (2019)","2019","Racing",218.75,218.75,3,1
"Hot Lap League","2021","Racing",0,0,0,0
"iRacing.com","2008","Racing",3068194.03,679017.1,1273,181
"Jak 3","2004","Racing",0,0,0,0
"Jak and Daxter: The Precursur Legacy","2001","Racing",500,0,4,1
"Jak II","2003","Racing",0,0,14,1
"KartRider","2004","Racing",567366.35,567366.35,76,20
"Live for Speed","2003","Racing",11833.14,9219.14,24,10
"Mad Skills Motocross 2","2017","Racing",20163,20163,12,1
"Marbles on Stream","2018","Racing",0,0,0,0
"Mario Kart 8 Deluxe","2017","Racing",5004.44,5004.44,48,9
"NASCAR Heat 4","2019","Racing",200500,0,34,5
"Nascar Heat 5","2020","Racing",6125,2500,20,2
"NASCAR Thunder 2002","2001","Racing",7679.25,7679.25,0,1
"NASCAR Thunder 2003","2002","Racing",5933.5,5933.5,0,1
"Need for Speed Carbon","2006","Racing",36322.58,36322.58,12,4
"Need for Speed: Most Wanted","2005","Racing",35694.54,35694.54,18,7
"Need for Speed: ProStreet","2007","Racing",32208.46,32208.46,12,3
"Need for Speed: Shift","2009","Racing",10500,10500,3,1
"Need for Speed: Underground","2003","Racing",35000,35000,3,1
"Need for Speed: Underground 2","2004","Racing",35629.48,35629.48,8,3
"Project Cars","2015","Racing",68955.21,10602.71,53,127
"Project Cars 2","2017","Racing",66150,58150,37,22
"Project Gotham Racing 2","2003","Racing",35000,35000,4,2
"Project Gotham Racing 3","2005","Racing",297286.85,297286.85,33,10
"Project Gotham Racing 4","2007","Racing",25208.46,25208.46,5,4
"RaceRoom Racing Experience","2013","Racing",277591.2,82583.7,159,27
"rFactor","2005","Racing",15083.56,0,51,4
"rFactor 2","2013","Racing",2146763.12,1441696.94,548,101
"Speedrunners","2016","Racing",150,0,5,2
"Sprint Vector","2018","Racing",11750,11750,8,1
"Trackmania (2020)","2020","Racing",429947.33,82192.63,614,517
"TrackMania 2: Canyon","2011","Racing",23514.91,17975.21,25,38
"TrackMania 2: Stadium","2013","Racing",200563.87,109371.91,345,286
"Trackmania 2: Valley","2013","Racing",779.34,779.34,6,2
"TrackMania Nations","2006","Racing",101381.66,61381.66,22,8
"TrackMania Nations Forever","2008","Racing",171331.47,146554.75,132,76
"Trackmania Turbo","2016","Racing",679.41,0,6,2
"Trackmania United","2006","Racing",1027.5,1027.5,3,1
"Trackmania United Forever","2008","Racing",0,0,0,0
"Trials Fusion","2014","Racing",0,0,0,0
"Turbo Racing League","2013","Racing",1e+06,5e+05,16,9
"Void Racer","2020","Racing",460,0,4,1
"WRC 10 FIA World Rally Championship","2021","Racing",25250,25250,1,1
"Audio Trip","2020","Sports",650,0,4,2
"Carom 3D","1999","Sports",60500,60500,11,4
"Dream league Soccer","2019","Sports",0,0,0,0
"Echo Arena","2017","Sports",193732.32,169362.32,126,22
"eFootball","2021","Sports",492000,25000,62,14
"Eleven Table Tennis","2016","Sports",0,0,0,0
"FIFA 03","2002","Sports",54066.44,54066.44,10,3
"FIFA 04","2003","Sports",40000,40000,3,3
"FIFA 05","2004","Sports",57728.01,57728.01,5,8
"FIFA 06","2005","Sports",112464.53,112464.53,23,12
"FIFA 07","2006","Sports",238312.23,238312.23,43,14
"FIFA 08","2007","Sports",207129.94,207129.94,68,17
"FIFA 09","2008","Sports",121618.34,115321.42,52,19
"FIFA 10","2009","Sports",117026.71,90147.21,64,48
"FIFA 11","2010","Sports",93983.77,85154.02,72,78
"FIFA 12","2011","Sports",57931.52,50779.42,59,67
"FIFA 13","2012","Sports",458427.82,448195.59,53,62
"FIFA 14","2013","Sports",96347.81,87377.48,57,69
"FIFA 15","2014","Sports",144373.99,116439.15,168,352
"FIFA 16","2015","Sports",118401.61,117457.44,62,29
"FIFA 17","2016","Sports",1482612.63,1482612.63,135,48
"FIFA 18","2017","Sports",2233697.69,2221267.08,235,48
"FIFA 19","2018","Sports",3257517.79,3244403.28,309,50
"FIFA 20","2019","Sports",2606667.1,1141158.77,322,63
"FIFA 2000","1999","Sports",50000,50000,4,1
"FIFA 2001","2000","Sports",46000,46000,9,2
"FIFA 2002 World Cup","2002","Sports",43000,43000,8,1
"FIFA 21","2020","Sports",2366734.53,84140.13,239,27
"FIFA 22","2021","Sports",2887298.02,2284080.82,299,54
"FIFA 23","2022","Sports",530101.41,529650.3,93,9
"FIFA Online 3","2012","Sports",1937542.85,1937542.85,124,25
"FIFA Online 4","2018","Sports",3407274.48,1837814.23,361,58
"GOLF Plus","2020","Sports",5000,5000,4,1
"Golf With Your Friends","2016","Sports",19400,0,11,2
"Gran Turismo 7","2022","Sports",21084.8,0,13,3
"Groove Gunner","2020","Sports",0,0,0,0
"Guitar Hero 5","2009","Sports",10500,10500,3,1
"Guitar Hero III: Legends of Rock","2007","Sports",19000,19000,8,2
"Guitar Hero: World Tour","2008","Sports",0,0,0,0
"Gym Masters VR","2021","Sports",500,0,4,1
"Just Dance 2014","2014","Sports",0,0,3,1
"Just Hoops","2021","Sports",0,0,0,0
"Madden NFL 19","2018","Sports",125000,125000,5,3
"Madden NFL 20","2019","Sports",923000,703000,38,2
"Madden NFL 2004","2003","Sports",1500,1500,3,1
"Madden NFL 2006","2005","Sports",1e+05,1e+05,1,1
"Madden NFL 2007","2006","Sports",1e+05,1e+05,1,1
"Madden NFL 2008","2007","Sports",1e+05,1e+05,1,1
"Madden NFL 2009","2008","Sports",1e+05,1e+05,1,1
"Madden NFL 2013","2012","Sports",4e+05,4e+05,8,1
"Madden NFL 2016","2015","Sports",50000,50000,8,1
"Madden NFL 2017","2016","Sports",1004000,1004000,42,5
"Madden NFL 2018","2017","Sports",423676.62,20676.62,40,3
"Madden NFL 22","2021","Sports",1e+06,1e+06,14,1
"Mario Tennis Aces","2018","Sports",61.3,0,6,2
"NBA 2K Online","2012","Sports",0,0,0,0
"NBA 2K18","2017","Sports",1e+06,1e+06,91,4
"NBA 2K19","2018","Sports",0,0,0,0
"NBA 2K20","2019","Sports",0,0,0,0
"NBA 2K21","2020","Sports",501,0,3,1
"NHL '94","1993","Sports",3818.56,3818.56,16,8
"NHL 12","2011","Sports",702.93,702.93,6,2
"NHL 13","2012","Sports",70000,70000,1,1
"NHL 14","2013","Sports",3023.96,3023.96,6,3
"NHL 15","2014","Sports",3157.16,3157.16,3,3
"NHL 17","2016","Sports",0,0,0,0
"NHL 18","2017","Sports",102700,90000,20,6
"NHL 19","2018","Sports",22566.67,19566.67,10,8
"Nock","2022","Sports",4050,0,12,2
"Pro Evolution Soccer 2008","2007","Sports",2084.15,2084.15,6,3
"Pro Evolution Soccer 2009","2008","Sports",1395.97,0,5,2
"Pro Evolution Soccer 2013","2012","Sports",0,0,0,0
"Pro Evolution Soccer 2014","2013","Sports",29410.25,29410.25,4,1
"Pro Evolution Soccer 2015","2014","Sports",26544.76,26544.76,3,1
"Pro Evolution Soccer 2016","2015","Sports",27243.84,27243.84,17,6
"Pro Evolution Soccer 2017","2016","Sports",514697.71,514697.71,39,16
"Pro Evolution Soccer 2018","2017","Sports",250000,250000,20,3
"Pro Evolution Soccer 2019","2019","Sports",216000,216000,25,2
"Pro Evolution Soccer 3","2003","Sports",25000,25000,8,2
"Pro Evolution Soccer 4","2004","Sports",40550.64,40550.64,11,2
"Pro Evolution Soccer 5","2005","Sports",32000,32000,4,1
"Pro Evolution Soccer 6","2006","Sports",20216.82,20216.82,5,2
"Racket: NX","2018","Sports",500,0,3,1
"Ragnaröck","2021","Sports",0,0,0,0
"Rezzil Player","2021","Sports",51250,0,15,10
"Rocket League","2015","Sports",28747725.48,10338582.24,3532,3087
"Rocket League Sideswipe","2021","Sports",2500,0,1,1
"Slapshot Rebound","2020","Sports",0,0,0,0
"Soccer Stars","2018","Sports",0,0,0,0
"SuperPlayer","2022","Sports",1000,0,3,1
"Synth Riders","2018","Sports",2100,600,11,7
"Walkabout Mini Golf","2021","Sports",2000,0,7,2
"Zwift","2015","Sports",65370.76,0,10,7
"Artifact Classic","2018","Collectible Card Game",120428.68,11635.81,284,189
"Artifact Foundry","2020","Collectible Card Game",1174.5,0,21,12
"Faeria","2017","Collectible Card Game",4100,0,12,5
"Gwent","2016","Collectible Card Game",1504997.17,755391.17,344,122
"Hand of the Gods","2017","Collectible Card Game",94434.2,72500,48,36
"Hearthstone","2014","Collectible Card Game",29465440.82,18260264.29,3055,1119
"Hearthstone Battlegrounds","2019","Collectible Card Game",603630,3e+05,79,7
"KARDS, The World War II Card Game","2019","Collectible Card Game",0,0,0,0
"Legends of Runeterra","2020","Collectible Card Game",526181.03,0,70,9
"Magic: The Gathering Arena","2018","Collectible Card Game",10288000,5854000,340,53
"Magic: The Gathering Online","2002","Collectible Card Game",1218000,1218000,130,10
"Mythgard","2019","Collectible Card Game",3000,0,9,3
"Pokémon TCG","1996","Collectible Card Game",0,0,0,0
"Shadowverse","2016","Collectible Card Game",5508473.29,5373673.29,248,44
"Shardbound","2017","Collectible Card Game",0,0,0,0
"The Elder Scrolls: Legends","2017","Collectible Card Game",5000,5000,3,1
"Yu-Gi-Oh! Duel Links","2016","Collectible Card Game",48746.72,0,328,219
"Catherine","2011","Puzzle Game",1545,1470,11,7
"Catherine: Full Body","2019","Puzzle Game",185,185,3,1
"Cultris II","2011","Puzzle Game",190.95,0,3,1
"Jstris","2014","Puzzle Game",275,0,12,2
"Magical Drop III","1997","Puzzle Game",130,130,3,1
"Microsoft Excel","1985","Puzzle Game",3200,0,17,8
"Pac-man","1981","Puzzle Game",0,0,0,0
"Panel Attack","2020","Puzzle Game",140,0,5,2
"Puyo Puyo Champions","2019","Puzzle Game",2482.3,2071.8,14,5
"Puyo Puyo Tetris","2014","Puzzle Game",3422.84,1617.75,31,16
"Puyo Puyo Tetris 2","2020","Puzzle Game",896.02,785.85,10,2
"Tetr.io","2020","Puzzle Game",5287.88,2034.4,27,13
"Tetris","1989","Puzzle Game",42515.99,16633.17,67,28
"Tetris Effect: Connected","2020","Puzzle Game",1934.91,1552.88,12,3
"Tetris Ultimate","2014","Puzzle Game",221,221,3,1
"Twinkle Star Sprites","1996","Puzzle Game",150,0,4,2
"Wise Star 2","2008","Puzzle Game",12000,12000,3,1
"Apex Legends","2019","Battle Royale",17717713.01,6268599.25,2129,710
"Apex Legends Mobile","2022","Battle Royale",0,0,0,0
"Ark: Survival Of The Fittest","2017","Battle Royale",0,0,0,0
"Fall Guys","2020","Battle Royale",340273.83,0,250,7
"Fortnite","2017","Battle Royale",155314332.43,46090778.69,6538,1288
"Free Fire","2017","Battle Royale",14872032.93,11076968.78,1567,85
"H1Z1","2016","Battle Royale",2067122,2067122,119,13
"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","2017","Battle Royale",63126780.39,40901943.43,3431,236
"PLAYERUNKNOWN’S BATTLEGROUNDS","2017","Battle Royale",52934532.27,39404671.73,3567,561
"Radical Heights","2018","Battle Royale",120000,0,12,2
"Ring of Elysium","2018","Battle Royale",70000,0,9,4
"Rocket Arena","2020","Battle Royale",1e+05,0,24,3
"Rules Of Survival","2017","Battle Royale",0,0,0,0
"Spellbreak","2020","Battle Royale",50000,0,42,1
"Super People","2022","Battle Royale",144526,0,95,11
"Gears 5","2019","Third-Person Shooter",2320920,680000,163,112
"Gears of War","2006","Third-Person Shooter",252195.57,252195.57,33,18
"Gears of War 2","2008","Third-Person Shooter",135000,135000,0,5
"Gears of War 3","2011","Third-Person Shooter",7255.81,4555.81,13,4
"Gears of War 4","2016","Third-Person Shooter",3142785,3055000,155,152
"Gears of War: Ultimate Edition","2015","Third-Person Shooter",170000,170000,39,3
"Knockout City","2021","Third-Person Shooter",0,0,0,0
"Mobile Suit Gundam: Extreme Vs Maxi Boost ON","2016","Third-Person Shooter",420,320,12,2
"Rogue Company","2020","Third-Person Shooter",50000,0,48,2
"The Division 2","2019","Third-Person Shooter",27250,0,40,2
"Beat Saber","2019","Music / Rhythm Game",16692.06,0,63,11
"osu!","2007","Music / Rhythm Game",193283.75,10371.39,955,170
